Date de consommation;Consommation (kWh);Nature de la donnee
04-10-2023;16;Recalculee
02-10-2023;10;Reelle
01-10-2023;13;Reelle
30-09-2023;11;Reelle
29-09-2023;15;Reelle
28-09-2023;12;Reelle
27-09-2023;18;Reelle
26-09-2023;12;Reelle
25-09-2023;10;Reelle
24-09-2023;17;Reelle
23-09-2023;14;Reelle
22-09-2023;15;Reelle
21-09-2023;12;Reelle
20-09-2023;15;Reelle
19-09-2023;13;Reelle
18-09-2023;15;Reelle
17-09-2023;10;Reelle
16-09-2023;15;Reelle
15-09-2023;12;Reelle
14-09-2023;9;Reelle
13-09-2023;15;Reelle
12-09-2023;11;Reelle
11-09-2023;13;Reelle
10-09-2023;11;Reelle
09-09-2023;13;Reelle
08-09-2023;22;Reelle
07-09-2023;12;Reelle
06-09-2023;12;Reelle
05-09-2023;15;Reelle
04-09-2023;9;Reelle
03-09-2023;12;Reelle
02-09-2023;13;Reelle
01-09-2023;11;Reelle
31-08-2023;14;Reelle
30-08-2023;13;Reelle
29-08-2023;14;Reelle
28-08-2023;17;Reelle
27-08-2023;12;Reelle
26-08-2023;12;Reelle
25-08-2023;13;Reelle
24-08-2023;7;Reelle
23-08-2023;9;Reelle
22-08-2023;11;Reelle
21-08-2023;14;Reelle
20-08-2023;14;Reelle
19-08-2023;7;Reelle
18-08-2023;11;Reelle
17-08-2023;9;Reelle
16-08-2023;12;Reelle
15-08-2023;13;Reelle
14-08-2023;15;Reelle
13-08-2023;10;Reelle
12-08-2023;8;Reelle
11-08-2023;11;Reelle
10-08-2023;7;Reelle
09-08-2023;12;Reelle
08-08-2023;14;Reelle
07-08-2023;12;Reelle
06-08-2023;7;Reelle
05-08-2023;4;Reelle
04-08-2023;13;Reelle
03-08-2023;14;Reelle
02-08-2023;13;Reelle
01-08-2023;16;Reelle
31-07-2023;15;Reelle
30-07-2023;10;Reelle
29-07-2023;7;Reelle
28-07-2023;15;Reelle
27-07-2023;15;Reelle
26-07-2023;13;Reelle
25-07-2023;14;Reelle
24-07-2023;15;Reelle
23-07-2023;12;Reelle
22-07-2023;10;Reelle
21-07-2023;14;Reelle
20-07-2023;13;Reelle
19-07-2023;11;Reelle
18-07-2023;10;Reelle
17-07-2023;9;Reelle
16-07-2023;9;Reelle
15-07-2023;12;Reelle
14-07-2023;10;Reelle
13-07-2023;12;Reelle
12-07-2023;17;Reelle
11-07-2023;10;Reelle
10-07-2023;10;Reelle
09-07-2023;12;Reelle
08-07-2023;13;Reelle
07-07-2023;12;Reelle
06-07-2023;10;Reelle
05-07-2023;13;Reelle
04-07-2023;13;Reelle
03-07-2023;13;Reelle
02-07-2023;9;Reelle
01-07-2023;10;Reelle
30-06-2023;14;Reelle
29-06-2023;11;Reelle
28-06-2023;17;Reelle
27-06-2023;10;Reelle
