Date de la puissance max;Puissance max (VA)
02-10-2023;3052
01-10-2023;4971
30-09-2023;2736
29-09-2023;3948
28-09-2023;3654
27-09-2023;4892
26-09-2023;3460
25-09-2023;2768
24-09-2023;3618
23-09-2023;3067
22-09-2023;3091
21-09-2023;2415
20-09-2023;2690
19-09-2023;3088
18-09-2023;2843
17-09-2023;2437
16-09-2023;2809
15-09-2023;2457
14-09-2023;2376
13-09-2023;3424
12-09-2023;3025
11-09-2023;2570
10-09-2023;4377
09-09-2023;3773
08-09-2023;3359
07-09-2023;3034
06-09-2023;2939
05-09-2023;4671
04-09-2023;3424
03-09-2023;3015
02-09-2023;2682
01-09-2023;2726
31-08-2023;3205
30-08-2023;3220
29-08-2023;3272
28-08-2023;3395
27-08-2023;3861
26-08-2023;4107
25-08-2023;3504
24-08-2023;1435
23-08-2023;2281
22-08-2023;3266
21-08-2023;3761
20-08-2023;3226
19-08-2023;1260
18-08-2023;3682
17-08-2023;2883
16-08-2023;3155
15-08-2023;2845
14-08-2023;4162
13-08-2023;3613
12-08-2023;2255
11-08-2023;4354
10-08-2023;2337
09-08-2023;2294
08-08-2023;3205
07-08-2023;2437
06-08-2023;829
05-08-2023;396
04-08-2023;2473
03-08-2023;2961
02-08-2023;3674
01-08-2023;3860
31-07-2023;3573
30-07-2023;2803
29-07-2023;1888
28-07-2023;2468
27-07-2023;4528
26-07-2023;2787
25-07-2023;3234
24-07-2023;4092
23-07-2023;3219
22-07-2023;4014
21-07-2023;5517
20-07-2023;3334
19-07-2023;2455
18-07-2023;2747
17-07-2023;4295
16-07-2023;3245
15-07-2023;4294
14-07-2023;2983
13-07-2023;3650
12-07-2023;3150
11-07-2023;2803
10-07-2023;2701
09-07-2023;2486
08-07-2023;3787
07-07-2023;3012
06-07-2023;4495
05-07-2023;3676
04-07-2023;4034
03-07-2023;2406
02-07-2023;3105
01-07-2023;2969
30-06-2023;3597
29-06-2023;3098
28-06-2023;5413
27-06-2023;2523
26-06-2023;2745
25-06-2023;4568
24-06-2023;3945
23-06-2023;2350
22-06-2023;3801
21-06-2023;4744
20-06-2023;2344
19-06-2023;2512
18-06-2023;2966
17-06-2023;3408
16-06-2023;4946
15-06-2023;3517
14-06-2023;4834
13-06-2023;5264
12-06-2023;2467
11-06-2023;2846
10-06-2023;4227
09-06-2023;2324
08-06-2023;3129
07-06-2023;3689
06-06-2023;1426
05-06-2023;2464
04-06-2023;4677
03-06-2023;2920
02-06-2023;3127
01-06-2023;2702
31-05-2023;3573
30-05-2023;3009
29-05-2023;2301
28-05-2023;2573
27-05-2023;4067
26-05-2023;3416
25-05-2023;3597
24-05-2023;3600
23-05-2023;1976
22-05-2023;2433
21-05-2023;3893
20-05-2023;3610
19-05-2023;3398
18-05-2023;3093
17-05-2023;5192
16-05-2023;2849
15-05-2023;2927
14-05-2023;4247
13-05-2023;3305
12-05-2023;4595
11-05-2023;3310
10-05-2023;2753
09-05-2023;4215
08-05-2023;2429
07-05-2023;2342
06-05-2023;2748
05-05-2023;3189
04-05-2023;2794
03-05-2023;4517
02-05-2023;5290
01-05-2023;4288
30-04-2023;3192
29-04-2023;3830
28-04-2023;3183
27-04-2023;4780
26-04-2023;3793
25-04-2023;5137
24-04-2023;3316
23-04-2023;4006
22-04-2023;2937
21-04-2023;2983
20-04-2023;4826
19-04-2023;3825
18-04-2023;6471
17-04-2023;5490
16-04-2023;3555
15-04-2023;5095
14-04-2023;4627
13-04-2023;3719
12-04-2023;3627
11-04-2023;3678
10-04-2023;4443
09-04-2023;1831
08-04-2023;3848
07-04-2023;3421
06-04-2023;4329
05-04-2023;3984
04-04-2023;2971
03-04-2023;4456
02-04-2023;6487
01-04-2023;3637
31-03-2023;4067
30-03-2023;4266
29-03-2023;4573
28-03-2023;5523
27-03-2023;4779
26-03-2023;5723
25-03-2023;4617
24-03-2023;4027
23-03-2023;4523
22-03-2023;4550
21-03-2023;3851
20-03-2023;3868
19-03-2023;4285
18-03-2023;4178
17-03-2023;4621
16-03-2023;4116
15-03-2023;4842
14-03-2023;3884
13-03-2023;4079
12-03-2023;3830
11-03-2023;4567
10-03-2023;3517
09-03-2023;4555
08-03-2023;4861
07-03-2023;4322
06-03-2023;5192
05-03-2023;3315
04-03-2023;5251
03-03-2023;3296
02-03-2023;4126
01-03-2023;3890
28-02-2023;3757
27-02-2023;4185
26-02-2023;3749
25-02-2023;3605
24-02-2023;4285
23-02-2023;3719
22-02-2023;3960
21-02-2023;3128
20-02-2023;5312
19-02-2023;4028
18-02-2023;3987
17-02-2023;5682
16-02-2023;3824
15-02-2023;5147
14-02-2023;3409
13-02-2023;4563
12-02-2023;3974
11-02-2023;3184
10-02-2023;5068
09-02-2023;4710
08-02-2023;3964
07-02-2023;3002
06-02-2023;4468
05-02-2023;3877
04-02-2023;3688
03-02-2023;3416
02-02-2023;4257
01-02-2023;5802
31-01-2023;3823
30-01-2023;4376
29-01-2023;5462
28-01-2023;4888
27-01-2023;4905
26-01-2023;3522
25-01-2023;3892
24-01-2023;3448
23-01-2023;5143
22-01-2023;4402
21-01-2023;4028
20-01-2023;4955
19-01-2023;5140
18-01-2023;4077
17-01-2023;3824
16-01-2023;3577
15-01-2023;4311
14-01-2023;4512
13-01-2023;3826
12-01-2023;3315
11-01-2023;4321
10-01-2023;3905
09-01-2023;4900
08-01-2023;3822
07-01-2023;3701
06-01-2023;4304
05-01-2023;4547
04-01-2023;2282
03-01-2023;3973
02-01-2023;3104
01-01-2023;3386
31-12-2022;3360
30-12-2022;3099
29-12-2022;3666
28-12-2022;6074
27-12-2022;3767
26-12-2022;4785
25-12-2022;3713
24-12-2022;4260
23-12-2022;3462
22-12-2022;3866
21-12-2022;3677
20-12-2022;4790
19-12-2022;3680
18-12-2022;3698
17-12-2022;5143
16-12-2022;5285
15-12-2022;4804
14-12-2022;5000
13-12-2022;5311
12-12-2022;5899
11-12-2022;5252
10-12-2022;3971
09-12-2022;3979
08-12-2022;3758
07-12-2022;3910
06-12-2022;6083
05-12-2022;3572
04-12-2022;2701
03-12-2022;3704
02-12-2022;5656
01-12-2022;3820
30-11-2022;3491
29-11-2022;4963
28-11-2022;4951
27-11-2022;3081
26-11-2022;5363
25-11-2022;4183
24-11-2022;2807
23-11-2022;3712
22-11-2022;3132
21-11-2022;2947
20-11-2022;3479
19-11-2022;3916
18-11-2022;3277
17-11-2022;3685
16-11-2022;3600
15-11-2022;3542
14-11-2022;3652
13-11-2022;4929
12-11-2022;3305
11-11-2022;4779
10-11-2022;3637
09-11-2022;4133
08-11-2022;3311
07-11-2022;3576
06-11-2022;5341
05-11-2022;2440
04-11-2022;3919
03-11-2022;3378
02-11-2022;3889
01-11-2022;3762
31-10-2022;4105
30-10-2022;5578
29-10-2022;3186
28-10-2022;4277
27-10-2022;3648
26-10-2022;5017
25-10-2022;4058
24-10-2022;4183
23-10-2022;3202
22-10-2022;3401
21-10-2022;2906
20-10-2022;3627
19-10-2022;4648
18-10-2022;3683
17-10-2022;3539
16-10-2022;3529
15-10-2022;3579
14-10-2022;3119
13-10-2022;4966
12-10-2022;2816
11-10-2022;3041
10-10-2022;3617
09-10-2022;2921
08-10-2022;2725
07-10-2022;3606
06-10-2022;3010
05-10-2022;2440
04-10-2022;2536
03-10-2022;3159
02-10-2022;2787
01-10-2022;4908
30-09-2022;3219
29-09-2022;3864
28-09-2022;4673
27-09-2022;1558
26-09-2022;2894
25-09-2022;4436
24-09-2022;3908
23-09-2022;2817
22-09-2022;4232
21-09-2022;4719
20-09-2022;3003
19-09-2022;4153
18-09-2022;3084
17-09-2022;3578
16-09-2022;2683
15-09-2022;3118
14-09-2022;4235
13-09-2022;3115
12-09-2022;3219
11-09-2022;3161
10-09-2022;4441
09-09-2022;4108
08-09-2022;3079
07-09-2022;2481
06-09-2022;3294
05-09-2022;3154
04-09-2022;5031
03-09-2022;2489
02-09-2022;3317
01-09-2022;4341
31-08-2022;3144
30-08-2022;2541
29-08-2022;3038
28-08-2022;3227
27-08-2022;3024
26-08-2022;2886
25-08-2022;3193
24-08-2022;2744
23-08-2022;3532
22-08-2022;3078
21-08-2022;3210
20-08-2022;2418
19-08-2022;2484
18-08-2022;3332
17-08-2022;2883
16-08-2022;3586
15-08-2022;4536
14-08-2022;1307
13-08-2022;4360
12-08-2022;3364
11-08-2022;2459
10-08-2022;3110
09-08-2022;2180
08-08-2022;4140
07-08-2022;3006
06-08-2022;4880
05-08-2022;2857
04-08-2022;1370
03-08-2022;3022
02-08-2022;3103
01-08-2022;3180
31-07-2022;2747
30-07-2022;3155
29-07-2022;3654
28-07-2022;2910
27-07-2022;3885
26-07-2022;2437
25-07-2022;2970
24-07-2022;4755
23-07-2022;4195
22-07-2022;3063
21-07-2022;2530
20-07-2022;1395
19-07-2022;3186
18-07-2022;2760
17-07-2022;2980
16-07-2022;2965
15-07-2022;4548
14-07-2022;4596
13-07-2022;3569
12-07-2022;3227
11-07-2022;4079
10-07-2022;4373
09-07-2022;3998
08-07-2022;3433
07-07-2022;2784
06-07-2022;4012
05-07-2022;3192
04-07-2022;2865
03-07-2022;3024
02-07-2022;4531
01-07-2022;3620
30-06-2022;2409
29-06-2022;3360
28-06-2022;2442
27-06-2022;3342
