Date de releve par le distributeur;Heure de releve par le distributeur;Puissance atteinte (W);Nature de la donnee
04-10-2023;00:00:00;342;Reelle
04-10-2023;23:30:00;436;Reelle
04-10-2023;23:00:00;350;Reelle
04-10-2023;22:30:00;350;Reelle
04-10-2023;22:00:00;356;Reelle
04-10-2023;21:30:00;408;Reelle
04-10-2023;21:00:00;498;Reelle
04-10-2023;20:30:00;2700;Reelle
04-10-2023;20:00:00;308;Reelle
04-10-2023;19:30:00;278;Reelle
04-10-2023;19:00:00;304;Reelle
04-10-2023;18:30:00;334;Reelle
04-10-2023;18:00:00;318;Reelle
04-10-2023;17:30:00;260;Reelle
04-10-2023;17:00:00;294;Reelle
04-10-2023;16:30:00;320;Reelle
04-10-2023;16:00:00;450;Reelle
04-10-2023;15:30:00;460;Reelle
04-10-2023;15:00:00;356;Reelle
04-10-2023;14:30:00;490;Reelle
04-10-2023;14:00:00;1842;Reelle
04-10-2023;13:30:00;2446;Reelle
04-10-2023;13:00:00;1352;Reelle
04-10-2023;12:30:00;2022;Reelle
04-10-2023;12:00:00;384;Reelle
04-10-2023;11:30:00;1476;Reelle
04-10-2023;11:00:00;382;Reelle
04-10-2023;10:30:00;1564;Reelle
04-10-2023;10:00:00;308;Reelle
04-10-2023;09:30:00;268;Reelle
04-10-2023;09:00:00;634;Reelle
04-10-2023;08:30:00;854;Reelle
04-10-2023;08:00:00;850;Reelle
04-10-2023;07:30:00;1028;Reelle
04-10-2023;07:00:00;802;Reelle
04-10-2023;06:30:00;1178;Reelle
04-10-2023;06:00:00;704;Reelle
04-10-2023;05:30:00;732;Reelle
04-10-2023;05:00:00;754;Reelle
04-10-2023;04:30:00;658;Reelle
04-10-2023;04:00:00;594;Reelle
04-10-2023;03:30:00;282;Reelle
04-10-2023;03:00:00;298;Reelle
04-10-2023;02:30:00;402;Reelle
04-10-2023;02:00:00;390;Reelle
04-10-2023;01:30:00;378;Reelle
04-10-2023;01:00:00;380;Reelle
04-10-2023;00:30:00;316;Reelle
02-10-2023;00:00:00;432;Reelle
02-10-2023;23:30:00;482;Reelle
02-10-2023;23:00:00;342;Reelle
02-10-2023;22:30:00;332;Reelle
02-10-2023;22:00:00;424;Reelle
02-10-2023;21:30:00;436;Reelle
02-10-2023;21:00:00;396;Reelle
02-10-2023;20:30:00;436;Reelle
02-10-2023;20:00:00;1374;Reelle
02-10-2023;19:30:00;418;Reelle
02-10-2023;19:00:00;240;Reelle
02-10-2023;18:30:00;240;Reelle
02-10-2023;18:00:00;600;Reelle
02-10-2023;17:30:00;418;Reelle
02-10-2023;17:00:00;336;Reelle
02-10-2023;16:30:00;372;Reelle
02-10-2023;16:00:00;242;Reelle
02-10-2023;15:30:00;188;Reelle
02-10-2023;15:00:00;188;Reelle
02-10-2023;14:30:00;168;Reelle
02-10-2023;14:00:00;162;Reelle
02-10-2023;13:30:00;378;Reelle
02-10-2023;13:00:00;460;Reelle
02-10-2023;12:30:00;208;Reelle
02-10-2023;12:00:00;168;Reelle
02-10-2023;11:30:00;148;Reelle
02-10-2023;11:00:00;184;Reelle
02-10-2023;10:30:00;220;Reelle
02-10-2023;10:00:00;210;Reelle
02-10-2023;09:30:00;206;Reelle
02-10-2023;09:00:00;302;Reelle
02-10-2023;08:30:00;332;Reelle
02-10-2023;08:00:00;306;Reelle
02-10-2023;07:30:00;276;Reelle
02-10-2023;07:00:00;220;Reelle
02-10-2023;06:30:00;630;Reelle
02-10-2023;06:00:00;458;Reelle
02-10-2023;05:30:00;244;Reelle
02-10-2023;05:00:00;154;Reelle
02-10-2023;04:30:00;180;Reelle
02-10-2023;04:00:00;1140;Reelle
02-10-2023;03:30:00;296;Reelle
02-10-2023;03:00:00;374;Reelle
02-10-2023;02:30:00;320;Reelle
02-10-2023;02:00:00;788;Reelle
02-10-2023;01:30:00;972;Reelle
02-10-2023;01:00:00;926;Reelle
02-10-2023;00:30:00;944;Reelle
01-10-2023;00:00:00;890;Reelle
01-10-2023;23:30:00;822;Reelle
01-10-2023;23:00:00;852;Reelle
01-10-2023;22:30:00;848;Reelle
01-10-2023;22:00:00;674;Reelle
01-10-2023;21:30:00;432;Reelle
01-10-2023;21:00:00;390;Reelle
01-10-2023;20:30:00;358;Reelle
01-10-2023;20:00:00;1190;Reelle
01-10-2023;19:30:00;772;Reelle
01-10-2023;19:00:00;770;Reelle
01-10-2023;18:30:00;1686;Reelle
01-10-2023;18:00:00;430;Reelle
01-10-2023;17:30:00;406;Reelle
01-10-2023;17:00:00;404;Reelle
01-10-2023;16:30:00;366;Reelle
01-10-2023;16:00:00;332;Reelle
01-10-2023;15:30:00;362;Reelle
01-10-2023;15:00:00;388;Reelle
01-10-2023;14:30:00;414;Reelle
01-10-2023;14:00:00;480;Reelle
01-10-2023;13:30:00;2760;Reelle
01-10-2023;13:00:00;1150;Reelle
01-10-2023;12:30:00;1050;Reelle
01-10-2023;12:00:00;396;Reelle
01-10-2023;11:30:00;290;Reelle
01-10-2023;11:00:00;314;Reelle
01-10-2023;10:30:00;198;Reelle
01-10-2023;10:00:00;230;Reelle
01-10-2023;09:30:00;224;Reelle
01-10-2023;09:00:00;482;Reelle
01-10-2023;08:30:00;150;Reelle
01-10-2023;08:00:00;490;Reelle
01-10-2023;07:30:00;752;Reelle
01-10-2023;07:00:00;750;Reelle
01-10-2023;06:30:00;800;Reelle
01-10-2023;06:00:00;688;Reelle
01-10-2023;05:30:00;228;Reelle
01-10-2023;05:00:00;306;Reelle
01-10-2023;04:30:00;244;Reelle
01-10-2023;04:00:00;290;Reelle
01-10-2023;03:30:00;298;Reelle
01-10-2023;03:00:00;176;Reelle
01-10-2023;02:30:00;202;Reelle
01-10-2023;02:00:00;162;Reelle
01-10-2023;01:30:00;182;Reelle
01-10-2023;01:00:00;242;Reelle
01-10-2023;00:30:00;178;Reelle
30-09-2023;00:00:00;168;Reelle
30-09-2023;23:30:00;164;Reelle
30-09-2023;23:00:00;150;Reelle
30-09-2023;22:30:00;230;Reelle
30-09-2023;22:00:00;220;Reelle
30-09-2023;21:30:00;168;Reelle
30-09-2023;21:00:00;174;Reelle
30-09-2023;20:30:00;146;Reelle
30-09-2023;20:00:00;202;Reelle
30-09-2023;19:30:00;236;Reelle
30-09-2023;19:00:00;270;Reelle
30-09-2023;18:30:00;426;Reelle
30-09-2023;18:00:00;326;Reelle
30-09-2023;17:30:00;736;Reelle
30-09-2023;17:00:00;720;Reelle
30-09-2023;16:30:00;418;Reelle
30-09-2023;16:00:00;768;Reelle
30-09-2023;15:30:00;1020;Reelle
30-09-2023;15:00:00;926;Reelle
30-09-2023;14:30:00;954;Reelle
30-09-2023;14:00:00;658;Reelle
30-09-2023;13:30:00;422;Reelle
30-09-2023;13:00:00;728;Reelle
30-09-2023;12:30:00;1746;Reelle
30-09-2023;12:00:00;1322;Reelle
30-09-2023;11:30:00;590;Reelle
30-09-2023;11:00:00;280;Reelle
30-09-2023;10:30:00;402;Reelle
30-09-2023;10:00:00;374;Reelle
30-09-2023;09:30:00;344;Reelle
30-09-2023;09:00:00;362;Reelle
30-09-2023;08:30:00;292;Reelle
30-09-2023;08:00:00;298;Reelle
30-09-2023;07:30:00;464;Reelle
30-09-2023;07:00:00;216;Reelle
30-09-2023;06:30:00;268;Reelle
30-09-2023;06:00:00;244;Reelle
30-09-2023;05:30:00;204;Reelle
30-09-2023;05:00:00;216;Reelle
30-09-2023;04:30:00;202;Reelle
30-09-2023;04:00:00;480;Reelle
30-09-2023;03:30:00;1264;Reelle
30-09-2023;03:00:00;402;Reelle
30-09-2023;02:30:00;438;Reelle
30-09-2023;02:00:00;414;Reelle
30-09-2023;01:30:00;942;Reelle
30-09-2023;01:00:00;338;Reelle
30-09-2023;00:30:00;386;Reelle
29-09-2023;00:00:00;390;Reelle
29-09-2023;23:30:00;350;Reelle
29-09-2023;23:00:00;384;Reelle
29-09-2023;22:30:00;410;Reelle
29-09-2023;22:00:00;850;Reelle
29-09-2023;21:30:00;1028;Reelle
29-09-2023;21:00:00;948;Reelle
29-09-2023;20:30:00;1204;Reelle
29-09-2023;20:00:00;1366;Reelle
29-09-2023;19:30:00;1618;Reelle
29-09-2023;19:00:00;2730;Reelle
29-09-2023;18:30:00;1524;Reelle
29-09-2023;18:00:00;894;Reelle
29-09-2023;17:30:00;1400;Reelle
29-09-2023;17:00:00;3210;Reelle
29-09-2023;16:30:00;1658;Reelle
29-09-2023;16:00:00;236;Reelle
29-09-2023;15:30:00;164;Reelle
29-09-2023;15:00:00;166;Reelle
29-09-2023;14:30:00;396;Reelle
29-09-2023;14:00:00;478;Reelle
29-09-2023;13:30:00;274;Reelle
29-09-2023;13:00:00;214;Reelle
29-09-2023;12:30:00;176;Reelle
29-09-2023;12:00:00;208;Reelle
29-09-2023;11:30:00;190;Reelle
29-09-2023;11:00:00;254;Reelle
29-09-2023;10:30:00;260;Reelle
29-09-2023;10:00:00;178;Reelle
29-09-2023;09:30:00;204;Reelle
29-09-2023;09:00:00;198;Reelle
29-09-2023;08:30:00;214;Reelle
29-09-2023;08:00:00;324;Reelle
29-09-2023;07:30:00;426;Reelle
29-09-2023;07:00:00;264;Reelle
29-09-2023;06:30:00;766;Reelle
29-09-2023;06:00:00;154;Reelle
29-09-2023;05:30:00;220;Reelle
29-09-2023;05:00:00;238;Reelle
29-09-2023;04:30:00;174;Reelle
29-09-2023;04:00:00;258;Reelle
29-09-2023;03:30:00;262;Reelle
29-09-2023;03:00:00;308;Reelle
29-09-2023;02:30:00;342;Reelle
29-09-2023;02:00:00;384;Reelle
29-09-2023;01:30:00;364;Reelle
29-09-2023;01:00:00;366;Reelle
29-09-2023;00:30:00;404;Reelle
28-09-2023;00:00:00;952;Reelle
28-09-2023;23:30:00;976;Reelle
28-09-2023;23:00:00;924;Reelle
28-09-2023;22:30:00;876;Reelle
28-09-2023;22:00:00;898;Reelle
28-09-2023;21:30:00;892;Reelle
28-09-2023;21:00:00;948;Reelle
28-09-2023;20:30:00;1448;Reelle
28-09-2023;20:00:00;342;Reelle
28-09-2023;19:30:00;420;Reelle
28-09-2023;19:00:00;448;Reelle
28-09-2023;18:30:00;472;Reelle
28-09-2023;18:00:00;1568;Reelle
28-09-2023;17:30:00;1138;Reelle
28-09-2023;17:00:00;994;Reelle
28-09-2023;16:30:00;158;Reelle
28-09-2023;16:00:00;190;Reelle
28-09-2023;15:30:00;226;Reelle
28-09-2023;15:00:00;238;Reelle
28-09-2023;14:30:00;224;Reelle
28-09-2023;14:00:00;1558;Reelle
28-09-2023;13:30:00;220;Reelle
